dataset_id,heldout_batch,method,model_seed,class,precision,recall,f1,support,coverage,readout
lung_atlas,3,sclsc_refonly,40,Type 2,0.9926470588235294,1.0,0.996309963099631,135,,common_distance_weighted_15nn
lung_atlas,3,sclsc_refonly,41,B cell,1.0,1.0,1.0,3,,common_distance_weighted_15nn
lung_atlas,3,sclsc_refonly,41,Ciliated,1.0,0.8333333333333334,0.9090909090909091,12,,common_distance_weighted_15nn
lung_atlas,3,sclsc_refonly,41,Dendritic cell,0.9484536082474226,0.9387755102040817,0.9435897435897436,98,,common_distance_weighted_15nn
lung_atlas,3,sclsc_refonly,41,Endothelium,0.0,0.0,0.0,0,,common_distance_weighted_15nn
lung_atlas,3,sclsc_refonly,41,Fibroblast,1.0,1.0,1.0,25,,common_distance_weighted_15nn
lung_atlas,3,sclsc_refonly,41,Macrophage,0.5714285714285714,1.0,0.7272727272727273,8,,common_distance_weighted_15nn
lung_atlas,3,sclsc_refonly,41,Mast cell,1.0,0.9897959183673469,0.9948717948717949,98,,common_distance_weighted_15nn
lung_atlas,3,sclsc_refonly,41,Neutrophil_CD14_high,0.631578947368421,0.9230769230769231,0.75,13,,common_distance_weighted_15nn
lung_atlas,3,sclsc_refonly,41,Neutrophils_IL1R2,1.0,0.09090909090909091,0.16666666666666666,11,,common_distance_weighted_15nn
lung_atlas,3,sclsc_refonly,41,Secretory,0.0,0.0,0.0,0,,common_distance_weighted_15nn
lung_atlas,3,sclsc_refonly,41,T/NK cell,1.0,0.9830508474576272,0.9914529914529915,59,,common_distance_weighted_15nn
lung_atlas,3,sclsc_refonly,41,Type 2,0.9926470588235294,1.0,0.996309963099631,135,,common_distance_weighted_15nn
lung_atlas,3,sclsc_refonly,42,B cell,1.0,1.0,1.0,3,,common_distance_weighted_15nn
